Id,Ref.,Label,Type,For sale,For purchase,Description,Public URL,Customs|Commodity|HS code,ID country,Accounting code (sale),Accounting code (sale intra-Community),Accounting code (sale export),Accounting code (purchase),Accounting code (purchase intra-community),Accounting code (purchase import),Note (private),Note (public),Weight,Weight unit,Length,Length unit,Width,Width unit,Height,Height unit,Area,Surface unit,Volume,Volume unit,Duration,Nature of product (raw/manufactured),Base price,Unit price (excl.),Unit price,MinPriceHT,MinPriceTTC,Tax Rate,Creation date,Modification date,Cost price,Default warehouse,ManageLotSerial,Stock,Stock limit for alert,Desired Stock,Weighted average price,Barcode,Manufacture Type,Vendor,Vendor SKU,Min. purchase quantity,Discount for this qty.,Buying price,Delivery delay (days),
249,10668-07416,CAMERON'S COFFEE GROUND - SEA SALT CARAMEL - 12 OZ,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,0.00000000,0.00000000,0.00000000,0.00000000,0.000,,2023-05-19 15:46:45,,,0,,,0,0.00000000,,,VENDOR 1,85494654,1,0,30.00000000,7,
1,DP610,Silver Liberty 20oz - Custom 1 Digital Print,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,8.75000000,8.75000000,0.00000000,0.00000000,0.000,,2023-06-30 08:19:49,,,0,99,,0,0.00000000,,2,,,,,,,
2,LE604 ,Black Liberty 20oz  -  Custom 1 Laser Etched,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,8.75000000,8.75000000,0.00000000,0.00000000,,,2023-05-19 15:02:07,,,0,,,0,0.00000000,,1,,,,,,,
3,LE701 ,White Napa 12oz  -  Custom 1 Laser Etched,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,8.75000000,8.75000000,0.00000000,0.00000000,,,2023-05-19 15:02:07,,,0,,,0,0.00000000,,1,,,,,,,
4,606B,Black Liberty 20oz - Blank,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,8.75000000,8.75000000,0.00000000,0.00000000,,,2023-05-19 15:02:07,,,0,,,0,0.00000000,,,,,,,,,
5,609B ,White Liberty 20oz - Blank,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,8.75000000,8.75000000,0.00000000,0.00000000,,,2023-05-19 15:02:08,,,0,,,0,0.00000000,,,,,,,,,
6,612B ,Silver Liberty 20oz - Blank,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,8.75000000,8.75000000,0.00000000,0.00000000,,,2023-05-19 15:02:08,,,0,,,0,0.00000000,,,,,,,,,
7,615B ,Royal Blue Liberty 20oz - Blank,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,8.75000000,8.75000000,0.00000000,0.00000000,,,2023-05-19 15:02:09,,,0,,,0,0.00000000,,,,,,,,,
8,618B ,Red Liberty 20oz - Blank,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,8.75000000,8.75000000,0.00000000,0.00000000,,,2023-05-19 15:02:09,,,0,,,0,0.00000000,,,,,,,,,
9,703B ,White Napa 12oz - Blank,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,8.75000000,8.75000000,0.00000000,0.00000000,,,2023-05-19 15:02:09,,,0,,,0,0.00000000,,,,,,,,,
10,706B,Silver Napa 12oz - Blank,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,8.75000000,8.75000000,0.00000000,0.00000000,,,2023-05-19 15:02:09,,,0,,,0,0.00000000,,,,,,,,,
11,903B ,Black Tundra 26oz - Blank,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,13.00000000,13.00000000,0.00000000,0.00000000,,,2023-05-19 15:02:09,,,0,,,0,0.00000000,,,,,,,,,
12,906B ,White Tundra 26oz - Blank,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,13.00000000,13.00000000,0.00000000,0.00000000,,,2023-05-19 15:02:10,,,0,,,0,0.00000000,,,,,,,,,
37,GL105 ,Adventures - White 20oz ,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,8.75000000,8.75000000,0.00000000,0.00000000,,,2023-06-30 08:19:49,,,0,90,,0,0.00000000,,1,,,,,,,
38,GL106 ,Life is Better - Royal Blue 20oz ,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,8.75000000,8.75000000,0.00000000,0.00000000,,,2023-05-19 15:02:10,,,0,,,0,0.00000000,,1,,,,,,,
39,GL107 ,USA Flag - Red 20oz,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,8.75000000,8.75000000,0.00000000,0.00000000,,,2023-05-19 15:02:10,,,0,,,0,0.00000000,,1,,,,,,,
40,GL108,Eat Sleep Hunt - Black 20oz,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,8.75000000,8.75000000,0.00000000,0.00000000,,,2023-05-19 15:02:10,,,0,,,0,0.00000000,,1,,,,,,,
41,GL109 ,"But First, Coffee - White 20oz ",0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,8.75000000,8.75000000,0.00000000,0.00000000,,,2023-05-19 15:02:11,,,0,,,0,0.00000000,,1,,,,,,,
42,GL110 ,Fishing Life - Black 20oz ,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,8.75000000,8.75000000,0.00000000,0.00000000,,,2023-05-19 15:02:11,,,0,,,0,0.00000000,,1,,,,,,,
43,GL203 ,Good Vibes - White 12oz ,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,8.75000000,8.75000000,0.00000000,0.00000000,,,2023-05-19 15:02:11,,,0,,,0,0.00000000,,1,,,,,,,
44,GL204,Compass - White 12oz ,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,8.75000000,8.75000000,0.00000000,0.00000000,,,2023-05-19 15:02:11,,,0,,,0,0.00000000,,1,,,,,,,
45,GP506 ,Sun and Moon - Silver 20oz ,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,8.75000000,8.75000000,0.00000000,0.00000000,,,2023-05-19 15:02:11,,,0,,,0,0.00000000,,2,,,,,,,
46,GP507 ,Golf - Silver 20oz ,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,8.75000000,8.75000000,0.00000000,0.00000000,,,2023-05-19 15:02:12,,,0,,,0,0.00000000,,2,,,,,,,
47,GP508 ,"Live, Laugh, Love - Silver 20oz ",0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,8.75000000,8.75000000,0.00000000,0.00000000,,,2023-05-19 15:02:12,,,0,,,0,0.00000000,,2,,,,,,,
48,GP509 ,Go Pink - Silver 20oz ,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,8.75000000,8.75000000,0.00000000,0.00000000,,,2023-05-19 15:02:12,,,0,,,0,0.00000000,,2,,,,,,,
49,GP608 ,Flamingo's - Silver 12oz ,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,8.75000000,8.75000000,0.00000000,0.00000000,,,2023-05-19 15:02:12,,,0,,,0,0.00000000,,2,,,,,,,
50,GP609 ,Floral - Silver 12oz ,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,8.75000000,8.75000000,0.00000000,0.00000000,,,2023-05-19 15:02:12,,,0,,,0,0.00000000,,2,,,,,,,
51,GP610 ,Paw Prints - Silver 12oz ,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,8.75000000,8.75000000,0.00000000,0.00000000,,,2023-05-19 15:02:13,,,0,,,0,0.00000000,,2,,,,,,,
52,GP611 ,Give Thanks - Silver 12oz ,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,8.75000000,8.75000000,0.00000000,0.00000000,,,2023-05-19 15:02:13,,,0,,,0,0.00000000,,2,,,,,,,
58,SHS04 ,Arkansas Home - Silver 20oz,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,8.75000000,8.75000000,0.00000000,0.00000000,,,2023-05-19 15:02:13,,,0,,,0,0.00000000,,,,,,,,,
59,SHS10 ,Georgia Home - Silver 20oz,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,8.75000000,8.75000000,0.00000000,0.00000000,,,2023-05-19 15:02:13,,,0,,,0,0.00000000,,,,,,,,,
60,SHS15 ,Iowa Home - Silver 20oz,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,8.75000000,8.75000000,0.00000000,0.00000000,,,2023-05-19 15:02:13,,,0,,,0,0.00000000,,,,,,,,,
61,SHS18 ,Louisiana Home - Silver 20oz,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,8.75000000,8.75000000,0.00000000,0.00000000,,,2023-05-19 15:02:14,,,0,,,0,0.00000000,,,,,,,,,
62,SHS43 ,Texas Home - Silver 20oz,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,8.75000000,8.75000000,0.00000000,0.00000000,,,2023-05-19 15:02:14,,,0,,,0,0.00000000,,,,,,,,,
63,DI001,Donation Item,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,5.00000000,5.00000000,0.00000000,0.00000000,,,2023-05-19 15:02:14,,,0,,,0,0.00000000,,,,,,,,,
64,LE501,Black Taylor 20oz  -  Custom Laser Etched,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,9.50000000,9.50000000,0.00000000,0.00000000,,,2023-05-19 15:02:14,,,0,,,0,0.00000000,,1,,,,,,,
65,LE502,Black Taylor 20oz  -  Custom 2 Laser Etched,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,9.50000000,9.50000000,0.00000000,0.00000000,,,2023-05-19 15:02:14,,,0,,,0,0.00000000,,1,,,,,,,
